Company Name,Symbol
DIALOG FINANCE PLC,CALF.N0000
WATAWALA  PLANTATIONS  PLC,WATA.N0000
E B CREASY & COMPANY PLC,EBCR.N0000
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000
ALUMEX PLC,ALUM.N0000
CHEVRON LUBRICANTS  LANKA  PLC,LLUB.N0000
JAT HOLDINGS PLC,JAT.N0000
JANASHAKTHI PLC,JXG.N0000
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000
BAIRAHA FARMS PLC,BFL.N0000
BOGALA GRAPHITE LANKA PLC,BOGA.N0000
JOHN KEELLS HOTELS PLC,KHL.N0000
LANKA TILES PLC,TILE.N0000
CABLE SOLUTIONS PLC,CSLK.N0000
HATTON NATIONAL BANK PLC,HNB.N0000
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000
LB FINANCE PLC,LFIN.N0000
PRIME LANDS RESIDENCIES PLC,PLR.N0000
